district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
qingpu,Qingpu,浩泽家园,诚意出售，精装修拎包入住，看房方便,4室2厅,4.0,94.28,南 北,精装,Fully Furnished,高,High,6.0,2006.0,19.0,板楼,Slab,260.0,2600000.0,27578.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115681353.html
qingpu,Qingpu,运杰御澜雅苑,安静南临河，养花种树，带惬意小院，仁恒品质,3室1厅,3.0,96.22,南,精装,Fully Furnished,低,Low,18.0,2019.0,6.0,板楼,Slab,415.0,4150000.0,43131.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115611441.html
qingpu,Qingpu,瑞和明庭西区,大虹桥板块 17号线 近地铁徐泾北城站 阳台大落地窗,2室1厅,2.0,72.91,南,毛坯,Bare Shell,中,Mid,18.0,2014.0,11.0,板楼,Slab,184.8,1848000.0,25347.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115653037.html
qingpu,Qingpu,五浦汇盛青文苑,大三房！飞机户型！景观楼层！位置好！纯西边套！,3室2厅,3.0,96.13,南,毛坯,Bare Shell,高,High,19.0,2021.0,4.0,,Unknown,268.0,2680000.0,27879.0,VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115783861.html
qingpu,Qingpu,融信铂爵,高区无遮挡，全天享阳光，户型方正，景观楼层,3室2厅,3.0,108.54,南,精装,Fully Furnished,高,High,25.0,2018.0,7.0,板楼,Slab,460.0,4600000.0,42381.0,近地铁|VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107110201200.html
qingpu,Qingpu,仁恒西郊花园,东边套，满五，高楼层，视野开阔，环境好，非顶楼,3室2厅,3.0,152.0,南 北,精装,Fully Furnished,高,High,18.0,2015.0,10.0,板楼,Slab,880.0,8800000.0,57895.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115785864.html
qingpu,Qingpu,万科天空之城一期海之洲,满5惟一+高区+类一梯一户+随时看房+ 前方视野无遮挡,3室2厅,3.0,99.02,南 北,精装,Fully Furnished,高,High,13.0,2018.0,7.0,板楼,Slab,620.0,6200000.0,62614.0,近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115537163.html
qingpu,Qingpu,绿地逸湾,低总价上车大虹桥辐射板块绿地逸湾的房子,1室1厅,1.0,61.57,南,精装,Fully Furnished,高,High,14.0,2011.0,14.0,板楼,Slab,140.0,1400000.0,22739.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115585627.html
qingpu,Qingpu,上海豪都国际花园(公寓),小区两房总价低 户型方正 得房高 业主诚意出售,2室1厅,2.0,86.61,南,简装,Basic Furnished,高,High,6.0,1996.0,29.0,板楼,Slab,199.0,1990000.0,22977.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115783387.html
qingpu,Qingpu,景港名人苑,一楼带南北院子，实际使用面积大,3室1厅,3.0,91.0,东南,精装,Fully Furnished,低,Low,6.0,2010.0,15.0,板楼,Slab,330.0,3300000.0,36264.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115315511.html
